Unnamed: 0,Hour,Minutes,Sensor_alpha,Sensor_beta,Sensor_gamma,Sensor_alpha_plus,Sensor_beta_plus,Sensor_gamma_plus,Insect
978,20,32,9.357809859432887,-13.44936366721754,-69.35496177189013,-43.6235478364646,-13.350178452142114,90.33961228609424,0
3050,21,51,95.50605954743274,-43.80470649201956,-62.25667436651492,-26.534959113273715,-71.464030344265,123.66264033007386,0
4961,18,57,65.97937991577928,-201.7370794190681,-153.59925637502195,88.6832940803937,105.04335107253252,-133.9784037314631,0
2548,21,27,-98.79142999430724,74.5764299110512,58.46336935544778,-82.03456719018838,94.20109230291594,-34.944169086421155,1
848,18,40,59.9080860147363,-264.2283266625676,-238.9135517857109,35.18694594478317,-282.1925838032498,-76.12912946810397,0
3484,22,17,82.7436492032403,89.88043343374335,36.02514239276673,82.93913380278335,-122.94892762141514,-39.14925599602685,0
3282,23,20,-115.05791433537853,20.190329216481253,-52.91286112743596,-116.74363103830588,29.399207211247617,-48.03297241185727,2
3861,19,44,-83.84283010778023,136.25147265606012,14.838887910317132,-120.33931556237812,-100.03093263188138,202.508956549506,0
2131,23,48,80.63873021083201,94.91576314813484,-156.5036811751617,17.17152536615333,68.96549201563576,88.16496206485262,2
47,19,58,-30.61038772677014,144.810603127358,50.45414313859871,70.89968796432412,166.87637424348597,-170.68401804733486,0
3265,23,38,-273.865102860471,126.44977319189636,-232.24789483965716,222.384928840734,-0.4133898605767419,9.484585336401569,2
1350,21,44,110.17316629411928,27.844253647137386,-21.99033433284704,-50.04430381827984,-2.6991144381910765,-52.706342352569045,0
4629,22,25,234.04359745167568,140.63389161230788,-158.55292643865323,138.15788202688375,5.115935586672724,2.673240481438686,2
446,21,51,-25.218345622448712,46.28188635814951,-20.9592780992268,-105.61036347385468,-68.31492896019793,-49.89344620864834,1
1743,22,51,189.5021724808948,9.106205215910922,-44.0232699468079,-5.841901865074872,90.50732426403438,49.11502176076452,0
4075,19,45,56.28381595267315,131.29269113022175,34.77867077363843,-50.57149956230751,-83.50984941909245,66.30337173021624,0
2981,21,37,134.0893876691109,-64.82595400064986,42.14073280502855,2.591957261981448,15.535954634300458,-87.21873688184077,1
3599,21,15,-2.887399735160641,-5.259369776609024,77.78688807569904,-23.58957536018224,14.877650897301145,34.402993608634894,1
4478,20,17,-17.67331237682657,207.90733700135843,29.91707202171108,-107.05572490514308,-63.55210505668326,40.43928803930116,0
5271,21,55,-15.170404536687524,-2.7831950043092912,-139.8148290541032,-178.23096805657633,51.69688053557304,29.02631745996704,1
3803,21,0,174.97354600100363,159.26177492899015,-4.372625829699983,-112.22626282952255,1.8647264669455328,9.236524702927287,2
1294,19,57,54.94067226573151,-132.79754751124568,179.02365390502138,106.56274693188676,110.36415042237732,51.51106054790259,0
2939,22,38,16.268744704840916,1.269151653210998,-48.83023020690629,-101.88298113953373,-278.7316284929291,128.20263502895122,0
4032,22,39,-73.89435560743436,-20.20164318576351,-62.39161693261952,-147.24758791528146,65.18881868038453,-110.80064721834768,0
6536,19,55,61.54486704189752,-197.4348844161141,131.7871686967814,137.11879711091044,-2.7554200275561294,-89.91636352382753,0
4995,21,43,-111.36782422482116,-146.10541306373318,87.13990775072918,59.47464802389523,207.56512525867404,18.401168877785526,0
4166,21,16,81.90167840078205,43.14371829455757,54.56369719428046,-63.86708363495826,93.8932146927194,-132.28803275503617,1
1112,21,48,-51.76057106681583,100.82642784710856,78.04971286474425,-74.93215770637227,-60.8993993332693,-182.40041222846423,1
776,21,5,174.6990752980792,98.8731692461023,-6.32043561687905,-20.67293364971584,75.78207940012422,-75.01150707481162,0
6614,21,43,239.94162533091932,-78.35904664195094,-43.91502643704568,-124.31728744798454,20.72040608564541,83.77017806207407,1
4747,21,10,19.56587178284123,-68.60075565708495,47.45099292196372,-2.6143781691348567,-10.360163699932142,118.34575974139902,1
2906,18,41,-147.05296496821364,119.66634924067904,-124.33281022091369,-208.9600692928249,114.19310975290313,-133.91252767896938,0
6943,20,59,-28.932619415255363,-67.03230051866565,-49.29913245965343,9.05858733040762,-230.68128733311065,-95.32577329965729,0
4531,22,10,26.632066116626063,-231.33247582626768,136.06929941552366,-21.99570093587774,8.470323746848319,-133.99423090421556,0
5062,20,37,97.53946091500978,-76.99595892159469,45.1690159031926,137.90583197005307,80.54313449763211,11.784690296859065,0
1851,22,28,-129.44265590074724,6.366046110128432,-67.54138014468238,55.61717500276079,-37.86489506057477,-98.81762183069227,0
1963,21,18,-53.17054628130376,-151.32094289305718,-99.5637339933609,131.83561577494055,-120.99960261924863,41.579391786347294,0
4909,22,17,-43.91205924884945,-103.9904834783962,-33.986014400131765,-13.573576021516454,116.90397767677108,36.06490135390714,1
3882,18,58,-160.7249863612127,281.14305066042755,-27.20765490783723,-50.35317803524655,105.65962089475316,-136.50433523686783,2
4418,20,44,-91.08136808542436,49.86299600971931,-13.124561783311083,46.415509718949565,109.62661802227947,-13.85428449175878,0
485,19,25,89.53847875105177,-207.82870573545136,121.15244237080223,106.3898567224726,-66.53178685815983,-10.406575786696443,0
4411,21,59,-91.61229020032611,-158.59043096741314,21.17708758809996,38.517606537948666,115.85080629781712,-76.09127096663723,1
5359,21,20,64.43093940301972,-44.45196579574354,-86.29373499365299,-143.13041935627834,-54.36363718992118,-76.45445001774894,1
30,21,53,249.48730770791107,-136.68817868431208,-73.80902250206162,8.54747252012713,-52.09048884645004,75.36632988908197,1
1879,22,48,204.14584868615364,3.57442095183933,93.26226020629592,121.17254691780258,66.65022430057033,256.80530378639526,0
2283,21,15,54.40988426045652,-64.80464157176873,-137.73129304849033,153.47145585969636,-46.57178917478061,133.67685252748012,1
6494,21,49,-17.57703222577038,57.79616902045637,74.8710683413482,-54.52704440825183,98.68803200656656,184.6436121778392,1
3214,19,39,27.969664757094005,-24.42829821050616,1.2717010170210874,94.54101409997072,0.6637775905769872,-111.01478590794332,0
